relationship_id,relationship_type,source_entity_type,source_id,target_entity_type,target_id,properties
REL_071,trades,Actor,ACT_001,Resource,RES_005,trade_direction:offers|conditionality:fair_treatment|reciprocity_expected:TRUE
REL_072,mediates,Actor,ACT_003,Actor,ACT_001,mediation_style:facilitative|power_dynamics:neutral|trust_level:0.85
REL_073,mediates,Actor,ACT_003,Actor,ACT_002,mediation_style:facilitative|power_dynamics:neutral|trust_level:0.8
REL_074,represents,Actor,ACT_006,Actor,ACT_002,authority_scope:procedural_decisions|legal_matters|accountability_mechanism:board_reporting|alignment:0.9
REL_075,represents,Actor,ACT_001,Actor,ACT_005,authority_scope:contract_negotiations|accountability_mechanism:ratification_vote|alignment:0.85
REL_076,anchors,Event,EVT_001,Goal,GOAL_001,anchor_strength:0.8|direction:high_anchor
REL_077,anchors,Event,EVT_002,Goal,GOAL_002,anchor_strength:0.75|direction:low_anchor
REL_078,concedes,Actor,ACT_001,Goal,GOAL_001,concession_magnitude:0.46|reciprocity_sought:TRUE|timing:final
REL_079,concedes,Actor,ACT_002,Goal,GOAL_002,concession_magnitude:0.38|reciprocity_sought:TRUE|timing:final
REL_080,concedes,Actor,ACT_001,Resource,RES_001,concession_magnitude:0.5|reciprocity_sought:TRUE|timing:midpoint
